City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
60,Kulhudhuffushi,MV,2020-02-24 03:39:13,6.62,73.07,83.17,76,32,15.35
61,Todos Santos,MX,2020-02-24 03:39:13,23.45,-110.22,70.0,82,5,4.7
62,College,US,2020-02-24 03:39:14,64.86,-147.8,-4.0,69,75,0.87
63,Torbay,CA,2020-02-24 03:35:13,47.67,-52.73,30.0,86,5,19.46
64,Saint-Philippe,RE,2020-02-24 03:39:14,-21.36,55.77,78.01,61,19,6.93
65,Bredasdorp,ZA,2020-02-24 03:39:14,-34.53,20.04,62.01,81,0,5.82
66,Ushuaia,AR,2020-02-24 03:36:06,-54.8,-68.3,42.8,81,40,18.34
67,Beloha,MG,2020-02-24 03:39:14,-25.17,45.05,74.25,90,61,3.78
68,Arraial Do Cabo,BR,2020-02-24 03:39:15,-22.97,-42.03,75.34,70,100,7.4
69,Dudinka,RU,2020-02-24 03:39:15,69.41,86.18,19.4,92,90,31.32
70,Biak,ID,2020-02-24 03:39:15,-0.91,122.88,85.21,70,49,7.18
71,Hermanus,ZA,2020-02-24 03:39:15,-34.42,19.23,62.01,77,0,8.99
72,Butaritari,KI,2020-02-24 03:39:15,3.07,172.79,84.13,77,35,21.0
73,Lebu,CL,2020-02-24 03:39:16,-37.62,-73.65,54.66,96,17,5.23
74,Isangel,VU,2020-02-24 03:39:16,-19.55,169.27,84.2,70,75,11.41
75,Ust-Kuyga,RU,2020-02-24 03:39:16,70.02,135.6,-12.32,98,78,7.07
76,Itarema,BR,2020-02-24 03:39:16,-2.92,-39.92,75.42,96,4,3.02
77,Guntur,IN,2020-02-24 03:39:16,16.3,80.45,77.0,88,87,3.36
78,Saskylakh,RU,2020-02-24 03:39:17,71.92,114.08,6.91,92,76,8.81
79,Castelo Branco,PT,2020-02-24 03:36:12,39.82,-7.49,46.99,77,0,2.15
80,Golden,US,2020-02-24 03:36:53,39.76,-105.22,39.2,69,90,5.59
81,Korla,CN,2020-02-24 03:39:17,41.76,86.15,43.0,80,51,1.01
82,Kenitra,MA,2020-02-24 03:39:17,34.26,-6.58,63.0,81,0,7.36
83,Xining,CN,2020-02-24 03:39:17,36.62,101.77,37.11,38,63,4.9
84,Evensk,RU,2020-02-24 03:39:18,61.95,159.23,1.83,89,90,2.73
85,Busselton,AU,2020-02-24 03:39:18,-33.65,115.33,81.0,32,100,15.21
86,Nanakuli,US,2020-02-24 03:39:18,21.39,-158.15,82.4,48,75,10.29
87,Ancud,CL,2020-02-24 03:39:18,-41.87,-73.82,51.8,71,8,8.05
88,Thompson,CA,2020-02-24 03:39:18,55.74,-97.86,12.2,78,90,8.05
89,Port Hardy,CA,2020-02-24 03:39:19,50.7,-127.42,39.2,80,75,12.75
90,Katsuura,JP,2020-02-24 03:39:19,35.13,140.3,59.0,48,20,8.05
91,Ormara,PK,2020-02-24 03:39:19,25.21,64.64,72.61,76,0,10.47
92,Chokurdakh,RU,2020-02-24 03:39:19,70.63,147.92,-20.76,97,85,3.24
93,Wonthaggi,AU,2020-02-24 03:39:19,-38.6,145.59,81.0,83,75,1.01
94,Bethel,US,2020-02-24 03:39:20,41.37,-73.41,43.0,68,1,2.93
95,Margate,GB,2020-02-24 03:39:20,51.38,1.39,46.0,100,100,5.82
96,Albany,US,2020-02-24 03:35:57,42.6,-73.97,34.0,68,1,3.29
97,Ostrovnoy,RU,2020-02-24 03:39:20,68.05,39.51,26.56,92,100,9.4
98,Vila Do Maio,CV,2020-02-24 03:39:20,15.13,-23.22,68.0,77,75,11.41
99,Cape Town,ZA,2020-02-24 03:36:43,-33.93,18.42,64.0,63,0,11.41
100,Fairbanks,US,2020-02-24 03:39:21,64.84,-147.72,-4.0,85,99,1.66
101,Taoudenni,ML,2020-02-24 03:39:21,22.68,-3.98,69.91,13,0,15.35
102,East London,ZA,2020-02-24 03:36:33,-33.02,27.91,57.2,87,10,6.93
103,Opuwo,NA,2020-02-24 03:39:21,-18.06,13.84,66.47,36,5,7.29
104,Oskarshamn,SE,2020-02-24 03:39:21,57.26,16.45,37.99,71,0,9.17
105,Nanortalik,GL,2020-02-24 03:39:22,60.14,-45.24,27.36,81,100,5.79
106,Pandan,PH,2020-02-24 03:39:22,14.05,124.17,81.05,76,0,13.04
107,Kaitangata,NZ,2020-02-24 03:39:22,-46.28,169.85,62.01,70,86,11.99
