City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
46,Kodiak,US,2020-02-27 02:32:38,57.79,-152.41,35.6,74,1,11.41,clear sky,0.0,0.0
47,Victoria,HK,2020-02-27 02:35:24,22.29,114.16,78.01,77,40,14.99,scattered clouds,0.0,0.0
48,Papara,BR,2020-02-27 02:35:40,-3.98,-38.73,82.4,78,75,3.36,broken clouds,0.0,0.0
49,Slave Lake,CA,2020-02-27 02:35:41,55.28,-114.77,33.8,74,20,7.76,few clouds,0.0,0.0
50,Brigantine,US,2020-02-27 02:35:41,39.41,-74.36,53.01,93,90,12.75,light rain,0.0,0.0
51,Pangkalanbuun,ID,2020-02-27 02:35:41,-2.68,111.62,91.33,53,100,2.42,overcast clouds,0.0,0.0
52,New Norfolk,AU,2020-02-27 02:35:41,-42.78,147.06,66.99,39,75,19.46,shower rain,0.0,0.0
53,Tuktoyaktuk,CA,2020-02-27 02:35:41,69.45,-133.04,-16.6,75,75,10.29,broken clouds,0.0,0.0
54,Hohhot,CN,2020-02-27 02:35:42,40.81,111.65,41.0,48,40,2.24,scattered clouds,0.0,0.0
55,Port Elizabeth,ZA,2020-02-27 02:35:21,-33.92,25.57,68.0,82,75,16.11,broken clouds,0.0,0.0
56,Bethel,US,2020-02-27 02:34:45,41.37,-73.41,46.4,87,90,12.75,overcast clouds,0.0,0.0
57,Zuwarah,LY,2020-02-27 02:35:42,32.93,12.08,60.12,75,0,11.65,clear sky,0.0,0.0
58,Aklavik,CA,2020-02-27 02:35:42,68.22,-135.01,-13.0,75,75,6.93,broken clouds,0.0,0.0
59,Arraial Do Cabo,BR,2020-02-27 02:35:43,-22.97,-42.03,79.34,86,100,9.91,light rain,0.044,0.0
60,Albany,US,2020-02-27 02:35:43,42.6,-73.97,45.0,74,90,3.36,overcast clouds,0.0,0.0
61,Chibuto,MZ,2020-02-27 02:35:43,-24.69,33.53,68.81,90,0,5.7,clear sky,0.0,0.0
62,Mahebourg,MU,2020-02-27 02:35:43,-20.41,57.7,80.6,88,75,8.05,shower rain,0.0,0.0
63,Kaitangata,NZ,2020-02-27 02:35:44,-46.28,169.85,66.0,64,100,21.12,light rain,0.035,0.0
64,Tanabe,JP,2020-02-27 02:35:44,33.73,135.37,50.0,43,40,21.92,scattered clouds,0.0,0.0
65,Vestmannaeyjar,IS,2020-02-27 02:35:44,63.44,-20.27,35.24,55,100,25.48,overcast clouds,0.0,0.0
66,Tasiilaq,GL,2020-02-27 02:35:44,65.61,-37.64,12.2,85,100,3.36,snow,0.0,0.0
67,Dikson,RU,2020-02-27 02:35:44,73.51,80.55,14.9,92,100,25.99,light snow,0.0,0.03
68,Saint-Georges,GD,2020-02-27 02:34:59,12.06,-61.75,77.0,83,20,3.36,few clouds,0.0,0.0
69,Saint-Joseph,RE,2020-02-27 02:35:45,-21.37,55.62,77.0,78,20,3.36,few clouds,0.0,0.0
70,Atuona,PF,2020-02-27 02:35:45,-9.8,-139.03,81.68,75,0,12.41,clear sky,0.0,0.0
71,Hermanus,ZA,2020-02-27 02:35:45,-34.42,19.23,63.0,87,100,1.01,light rain,0.017,0.0
72,Gorontalo,ID,2020-02-27 02:35:45,0.54,123.06,90.18,47,84,2.55,broken clouds,0.0,0.0
73,Doha,QA,2020-02-27 02:33:02,25.29,51.53,63.0,72,0,5.82,clear sky,0.0,0.0
74,Bergerac,FR,2020-02-27 02:35:46,44.83,0.5,46.0,93,90,9.17,light intensity drizzle,0.0,0.0
75,Grand Gaube,MU,2020-02-27 02:35:46,-20.01,57.66,80.6,88,75,8.05,shower rain,0.0,0.0
76,Bluff,NZ,2020-02-27 02:35:46,-46.6,168.33,63.0,65,100,21.0,overcast clouds,0.0,0.0
77,Carnarvon,AU,2020-02-27 02:35:46,-24.87,113.63,82.4,78,40,17.22,scattered clouds,0.0,0.0
78,Alice Springs,AU,2020-02-27 02:35:46,-23.7,133.88,95.0,16,75,17.22,broken clouds,0.0,0.0
79,East London,ZA,2020-02-27 02:35:47,-33.02,27.91,71.65,82,100,14.38,light rain,0.042,0.0
80,Cherskiy,RU,2020-02-27 02:35:47,68.75,161.3,-8.07,89,100,15.14,overcast clouds,0.0,0.0
81,Warri,NG,2020-02-27 02:35:47,5.52,5.75,78.82,87,45,2.89,scattered clouds,0.0,0.0
82,Taylorville,US,2020-02-27 02:35:47,39.55,-89.29,30.99,63,90,14.99,overcast clouds,0.0,0.0
